E;C;D;B;A
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Absent;Not increased;
Present;;Absent;Increased;Present
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Present;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;;Not increased;Absent
Present;Present;Present;Not increased;Absent
Present;Absent;Present;Increased;Absent
;;Absent;Not increased;Absent
Present;Absent;Present;;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Not increased;
Present;Absent;Absent;;Absent
;Absent;Present;Increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Absent;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Absent
;;Present;Increased;Present
;Present;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;;Increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Present;Present;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Present;Present;Increased;Absent
;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Present;Present;Not increased;Absent
Absent;Absent;Absent;;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Absent;Absent;;Not increased;Absent
;Absent;Absent;Not increased;
Present;Present;Present;Increased;Present
Present;Absent;Present;Increased;Absent
;;Absent;Not increased;Absent
Absent;Present;Absent;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Present
Present;Present;Present;;Present
Present;Absent;Absent;;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Present
Present;Absent;Absent;;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Present;Present;Not increased;Present
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
;;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Absent;Absent;;Not increased;Absent
Present;;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Present;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Absent;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Present;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;;Present
Present;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Increased;Absent
Absent;Absent;Present;;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Present;Present;Increased;Present
Present;;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Present;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
;Present;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Present;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Present;;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;
Present;Absent;;Not increased;Absent
Present;Absent;;Increased;Absent
;Absent;Absent;;Absent
Present;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Present
Absent;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Absent;;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Absent;Absent;Increased;Present
Present;Present;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Present;Present;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Present;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;
Absent;Absent;Absent;Not increased;Present
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Absent;Absent;Present;Increased;Present
Absent;Absent;Present;;Absent
Present;Absent;Absent;Not increased;Absent
Absent;;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;;Present
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Present;Present;Increased;Present
Present;Absent;Present;;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Present;Present;Absent;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;;Absent;Not increased;Present
Present;Present;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Absent
Present;Present;Present;Not increased;Absent
Absent;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;;Present;Increased;Absent
Present;Absent;Absent;Not increased;
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Present
Present;Absent;Absent;Increased;Present
Present;Present;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
;Absent;Present;Increased;Present
Absent;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Present;;Present
Absent;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;
Absent;;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Present;Present;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Present;;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;
Absent;Absent;Present;Increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Present;;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Absent;Present;Absent;Not increased;
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Present;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Absent;Present;Present;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;;Absent
Present;Present;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;;Present;Increased;Absent
Present;Absent;;Increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Present;;Present
;Absent;Present;Increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;;;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Present;Present;Absent;;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;;Absent;Not increased;Absent
Present;Present;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;;;Absent
;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;
Present;;Present;;Present
Present;Absent;Present;;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;;Present;Increased;Present
;Absent;Present;Not increased;Absent
Present;Present;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Absent;Absent;;Increased;Present
Present;;Present;Increased;Present
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;Present;Increased;Present
Absent;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Present
Present;;Absent;Not increased;Absent
;Present;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;;Present
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;;Present;Increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Present
Present;Absent;Absent;Not increased;
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;;Absent;;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Present;Absent;;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Present;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;;Absent;Not increased;
Present;Absent;Present;Increased;Absent
Present;;Absent;Not increased;
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Present;Absent;Present;Increased;
Absent;Absent;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Absent;Present;Increased;
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;;Absent
Present;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;
Absent;Present;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
;Absent;Absent;Not increased;Absent
Absent;Absent;;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
